calories,carb,fat,name,protein,sugar,type
140,19.5,3.1,Tofu Stroganoff,8.4,2.1,Pasta
326,29.6,21.5,Pasta with Spicy Anchovy Sauce and Dill Bread Crumbs,5.0,2.2,Pasta
171,27.9,4.8,Pappardelle with Vegetable Bolognese,3.5,1.5,Pasta
162,19.2,5.8,Fontina Risotto with Chicken,6.7,0.5,Pasta
165,16.5,8.3,Zesty Tortellini Salad,6.0,2.1,Pasta
212,28.5,7.5,Garlic Mac N Cheese,8.0,1.4,Pasta
116,8.7,7.3,Quinoa Tabbouleh with Feta,4.3,1.1,Pasta
358,62.1,7.5,Australian Vegemite Pasta,11.2,0.1,Pasta
375,53.1,13.6,Parsley Scallion Hummus Pasta,13.0,5.3,Pasta
355,57.3,8.0,Easy Vegan Pasta with Kale and Chickpeas,14.3,5.4,Pasta
172,16.1,9.3,Pumpkin Ravioli,5.6,3.0,Pasta
95,16.8,2.5,Vegetable Stir Fry Mung Bean Noodles,2.3,3.9,Pasta
140,29.9,0.8,Penne Pasta with Cannellini Beans and Escarole,4.6,0.5,Pasta
176,27.6,5.4,Fettuccini with Salsa Cruda and Feta,6.9,1.8,Pasta
175,20.6,4.9,Italian Chicken Pasta Salad,12.5,2.6,Pasta
107,16.6,4.0,Melanzana Linguine,3.1,2.0,Pasta
308,38.1,14.1,Acini di Pepe Pasta with Garlic and Olives,7.8,0.0,Pasta
248,35.5,6.6,Farfalline Pasta Carbonara,13.8,1.4,Pasta
144,11.7,6.4,Healthy Chicken Vegetable Casserole,10.2,1.3,Pasta
203,26.2,7.9,Orecchiette Pasta with Chicken Sausage and Broccoli,8.3,0.6,Pasta
146,19.7,4.0,Cheesy Spinach and Mushroom Lasagna Rolls,7.3,2.3,Pasta
184,30.7,4.4,Lemon and Asparagus Pasta,6.0,1.2,Pasta
167,15.6,9.0,Herbed Gnocchi and Mushrooms,3.1,0.7,Pasta
224,40.9,3.9,Greek Fettuccine,9.7,1.3,Pasta
160,25.5,4.1,Penne with Lemon and Root Vegetables,7.3,3.2,Pasta
93,12.8,3.0,Kentucky Chili,5.4,2.6,Pasta
124,20.1,2.0,Pressure Cooker Chicken and Mushroom Risotto,5.4,0.4,Pasta
153,20.4,4.3,Spaghetti Bolognese,8.5,3.6,Pasta
253,47.6,4.6,Pasta Corn & Artichoke Bowl,9.4,0.6,Pasta
363,43.9,18.5,Penne with Mushrooms,7.3,0.5,Pasta
54,7.1,2.8,Spaghetti Squash with Pine Nuts Sage and Romano,1.4,2.7,Pasta
101,16.4,1.3,Salmon Penne,7.4,1.8,Pasta
75,7.6,4.5,Fettuccine Alfredo III,1.9,0.0,Pasta
100,16.4,1.8,Veggies Pasta Sauce and Red Lentil Rotini,5.6,3.5,Pasta
139,4.3,11.8,Caulfloweri Mac and Cheese,5.0,2.0,Pasta
192,27.9,7.3,Couscous with Apricots,4.1,3.9,Pasta
458,59.8,19.7,White Spaghetti,10.5,2.2,Pasta
220,16.9,12.9,Night Before Thai Noodles,9.4,3.0,Pasta
79,8.8,2.0,Chili Mac with Colby Jack Cheese,7.2,1.5,Pasta
217,14.7,12.5,Cajun Chicken Pasta,11.6,1.0,Pasta
210,18.6,10.0,Creamy Chicken Penne,11.9,1.0,Pasta
282,14.8,18.2,Macaroni and Cheese,14.7,3.9,Pasta
172,24.0,3.8,Chicken Black Bean & Rice Wrap,9.9,1.0,Pasta
316,39.4,15.5,Lazy Pad Thai,6.3,1.4,Pasta
105,17.0,2.2,Pasta Caprice,4.7,3.1,Pasta
147,27.0,2.7,Vegan Rose Sauce,6.5,2.5,Pasta
128,17.9,1.9,High Protein Chicken Alfredo,9.2,0.5,Pasta
226,24.1,11.6,Orzo with Feta Tomatoes and Dill,8.5,2.1,Pasta
381,60.3,7.7,Spaghetti with Pecorino Romano and Black Pepper,16.6,2.0,Pasta
186,22.2,7.6,Castellane with Mascarpone and Roasted Grape Tomatoes,6.9,1.6,Pasta
356,32.5,22.1,One Dish Broccoli Rotini,10.4,0.6,Pasta
280,31.0,12.6,Creamy Mushroom Macaroni,13.0,0.5,Pasta
