calories,carb,fat,name,protein,sugar,type
271,33.4,15.1,Banana Tartes Tatin,2.5,16.4,Main dishes
217,31.2,9.4,Chocolate Almond and Banana Parfaits,5.0,12.2,Main dishes
521,5.3,53.4,Fried Mozzarella Balls,6.7,0.6,Main dishes
82,8.9,5.1,Carrot Cabbage Slaw with Cumin Vinaigrette,1.2,4.6,Main dishes
294,44.5,7.6,Orecchiette,12.5,0.4,Main dishes
136,21.6,2.2,Dijon Cilantro Tuna Salad on Whole Grain Bread,7.7,5.8,Main dishes
112,3.6,6.7,Greek Spiced Baked Shrimp,9.3,1.5,Main dishes
41,6.3,1.9,Butternut Squash Soup with Chestnuts,0.6,1.6,Main dishes
117,4.4,8.2,Oven Roasted Plum Tomatoes,6.6,1.3,Main dishes
192,24.7,4.0,Chilled Buttermilk Soup,14.4,23.3,Main dishes
112,11.5,7.4,Grapefruit and Avocado Salad with Ginger Cassis Dressing,0.9,3.8,Main dishes
100,13.2,5.3,Beet and Tangerine Salad with Cranberry Dressing,1.0,10.1,Main dishes
411,7.0,43.0,Radicchio and Haricot Vert Salad with Candied Walnuts,1.6,4.7,Main dishes
138,12.2,9.4,Leeks Vinaigrette,2.3,3.3,Main dishes
100,6.4,4.5,Tarragon Crab Salad,8.7,1.3,Main dishes
81,8.2,5.4,Fennel and Carrot Slaw with Olive Dressing,1.1,3.9,Main dishes
48,4.4,3.3,Radicchio Red Cabbage and Tomatoes with Orange Vinaigrette,1.1,2.2,Main dishes
182,10.4,12.9,Stuffed Guinea Squash Eggplant,6.9,2.7,Main dishes
43,8.1,0.4,Millet Stuffed Peppers,2.0,1.0,Main dishes
84,8.3,3.6,Baked Shells in Sauce,6.1,2.0,Main dishes
157,15.8,7.6,Quick Cucumber Pickles with Rye Bread and Cheese,7.8,4.5,Main dishes
300,35.2,17.9,Radicchio and Arugula Salad with Dates Hazelnuts and Feta,4.2,29.9,Main dishes
145,15.6,8.7,Tabouleh,2.8,1.4,Main dishes
75,5.3,5.2,Stuffed Mini Peppers with Spinach Dip,2.4,1.3,Main dishes
426,70.5,14.8,Peanut butter s mores,6.5,43.6,Main dishes
122,6.7,10.8,Cola Sauerkraut,0.5,5.0,Main dishes
34,8.0,0.1,Cucumber Watermelon Salad,0.6,6.5,Main dishes
91,17.2,1.9,English Baked Potatoes,2.0,0.8,Main dishes
112,10.3,6.1,First Class Bleu Cheese Salad,5.0,3.0,Main dishes
166,5.5,15.5,Grilled Cauliflower,3.6,2.4,Main dishes
128,24.3,2.2,Alton Brown s Baked Brown Rice,2.5,0.3,Main dishes
117,16.5,4.5,Roasted Kielbasa & Potatoes,3.2,0.8,Main dishes
320,33.0,16.8,Blue Cheese Bread,9.9,3.1,Main dishes
377,45.6,20.3,Scottish Oat Scones,6.2,13.6,Main dishes
234,33.8,10.1,Deep Dish Rhubarb Pie with Crumb Topping,3.1,17.3,Main dishes
152,11.2,10.0,Elegant Endives,6.4,7.3,Main dishes
524,40.0,37.8,Sugared Spiced Nuts,14.5,27.5,Main dishes
354,38.1,16.8,Three Cheese Garlic Bread,12.8,8.8,Main dishes
184,6.8,13.5,Chicken and Mango Salad with Ginger Orange Dressing,9.3,5.5,Main dishes
45,8.6,0.2,Mango Lassi,3.0,8.0,Main dishes
398,6.9,40.2,Arugula Salsa Verde,4.0,1.5,Main dishes
106,13.2,4.4,Spanish White Beans with Spinach,4.6,0.9,Main dishes
63,11.3,2.4,Roasted Calabaza,1.0,2.1,Main dishes
78,8.4,4.5,Sauteed Kale with Kohlrabi,3.6,2.4,Main dishes
43,6.4,1.6,Fennel Potato Soup with Smoked Salmon,1.3,1.3,Main dishes
63,8.8,1.6,Napa Cabbage Salad with Buttermilk Dressing,3.8,6.6,Main dishes
