calories,carb,fat,name,protein,sugar,type
238,41.0,5.9,Double Fudge Banana Muffins,7.0,13.7,Desserts
103,22.1,2.1,Banana Chocolate and Coconut ice pops,1.3,13.0,Desserts
414,35.0,29.2,Flourless Chocolate Cake,7.1,5.5,Desserts
366,49.6,17.8,Vegan Chocolate Ginger Orange Cupcakes,2.7,34.1,Desserts
101,11.1,4.2,Strawberry Cheesecake Chia Seed Pudding,5.1,6.9,Desserts
463,50.4,26.5,Gluten Free Peanut Butter Cookies,11.6,41.5,Desserts
74,12.4,3.0,Grilled Peaches with Honey,0.9,11.4,Desserts
205,31.5,8.4,Warm Skillet Sour Cherries with Vanilla Ice Cream,2.0,27.8,Desserts
145,31.1,2.9,Cranberry Black Pepper Chutney,0.4,26.4,Desserts
146,11.7,6.7,Sour coconut bonbons,10.6,5.0,Desserts
350,39.6,20.2,Two Step Cheesecake,4.1,29.7,Desserts
352,35.5,21.9,Frozen Chocolate Bananas,4.5,20.9,Desserts
255,25.5,15.9,Peanut Butter and Banana Sundaes,5.4,21.1,Desserts
316,32.2,19.9,Blackberry Financiers,4.7,24.5,Desserts
194,45.3,1.1,Simple Vegan Banana Bread,4.0,20.9,Desserts
379,44.4,21.6,Chocolate Peanut Butter Dump Cake,6.1,28.6,Desserts
431,55.4,23.4,Dark Chocolate Brownie Bites,4.3,40.5,Desserts
200,23.1,12.8,Homemade Paleo Pear & Cranberry Crisp,2.0,16.8,Desserts
371,51.8,16.1,Coconut Balls,7.5,46.6,Desserts
326,45.9,15.3,Moist Chocolate Muffins,5.3,26.6,Desserts
213,36.5,6.9,Maple Pecan Banana Muffins,4.4,16.8,Desserts
95,15.8,3.8,Baked Pears with Walnuts and Honey,1.5,10.6,Desserts
363,77.4,5.9,Extra Gooey Rice Crispy Treats,3.3,39.1,Desserts
87,17.4,2.2,Vegan Strawberry Banana Ice Cream,1.5,8.6,Desserts
84,9.6,5.3,Chocolate Avocado and Strawberry Smoothie,1.1,4.2,Desserts
517,44.1,40.7,Raw Chocolate Macaroons,2.8,33.7,Desserts
306,36.1,16.2,Coconut Rum Banana Bread,3.7,16.2,Desserts
485,48.0,32.3,Marshmallow Cornflake Treats,5.6,23.7,Desserts
453,27.3,35.8,Low Carb Cacao Macaroons,6.6,8.0,Desserts
