calories,carb,fat,name,protein,sugar,type
27,1.6,1.3,Low Carb Cauliflower & Ham Soup,2.7,0.8,Soups
114,7.8,9.2,Vegan Brussels Sprouts Stew,3.0,1.8,Soups
13,2.3,0.2,Onion Carrot And Ginger Soup,0.7,1.2,Soups
47,5.4,2.4,Pumpkin Soup with Toasted Pumpkin Seeds,1.5,1.9,Soups
46,7.3,1.9,Slow Cooker Butternut Squash Soup,1.0,1.0,Soups
121,20.0,2.2,Moroccan Minestrone,6.6,1.1,Soups
24,3.3,0.5,Vegetable Miso Soup,1.3,0.6,Soups
24,4.3,0.5,Chicken noodle soup,0.6,1.0,Soups
63,8.1,2.1,Spicy Tortilla Soup with Shrimp and Avocado,3.0,0.8,Soups
68,7.4,2.3,Chicken and Spinach Soup with Fresh Pesto,4.6,0.9,Soups
36,5.0,1.8,Chilled Corn Soup,0.8,1.2,Soups
111,2.0,11.1,Keto Crock Pot Clam Chowder,1.4,1.3,Soups
64,2.9,5.6,Keto Cauliflower Parmesan Soup,1.3,1.1,Soups
81,15.4,0.8,Rivel Soup,3.0,0.6,Soups
99,5.3,6.2,Pepperoni Pizza Soup,5.3,2.6,Soups
96,6.1,6.2,Creamy Chicken and Corn Soup,4.5,3.1,Soups
32,6.5,0.3,Italian Vegetable Soup II,1.8,3.0,Soups
104,4.0,9.8,Spinach & Avocado Soup,1.6,0.3,Soups
27,2.8,1.5,Tomato Soup,0.9,1.4,Soups
82,10.7,3.4,Vegetarian West African Peanut Soup,3.1,1.4,Soups
69,4.9,2.3,Chicken Soup,7.2,1.9,Soups
317,41.5,13.4,Broccoli Spaghetti Soup,7.8,2.0,Soups
72,8.1,2.1,Lentil Soup,5.6,1.7,Soups
37,7.5,0.4,Friday Night Veggie Soup,1.2,0.8,Soups
154,2.1,11.6,Low Carb Chile Relleno Soup,10.4,0.7,Soups
68,11.1,1.2,One Pot Black Bean Soup,3.8,0.7,Soups
83,3.1,4.0,Creamy Chicken Soup,9.1,1.1,Soups
46,3.7,2.9,Creamy Asparagus Soup,2.0,1.7,Soups
62,8.2,2.2,Thai Shrimp Noodle Soup,2.6,0.7,Soups
69,13.1,0.7,Curried Tomato Lentil Soup,3.1,1.3,Soups
74,2.3,5.8,Tarator Cold Greek Yogurt Soup,3.2,0.4,Soups
52,3.8,2.3,Creamy Chicken and Potato Soup,4.0,0.9,Soups
101,4.9,4.7,Creamy Chicken Yogurt Soup,9.7,1.9,Soups
80,3.5,6.0,Broccoli Soup with Cheddar Cheese,3.5,1.0,Soups
53,6.7,1.1,Skinny Chicken Mexican Stew,4.4,1.6,Soups
22,3.9,0.2,Cream of Mushroom and Wild Rice Soup,1.8,1.2,Soups
59,7.9,3.1,Thai Curried Butternut Squash Soup,1.2,2.0,Soups
59,7.3,1.5,Zuppa Di Pollo,3.9,0.4,Soups
151,26.3,1.6,Afghan Red Lentil Soup,9.4,1.1,Soups
48,6.4,2.1,Golden Austrian Cauliflower Cream Soup,1.9,2.0,Soups
25,1.3,1.1,Egg Drop Soup with Tofu,2.1,0.3,Soups
39,7.4,0.9,Sweet Potato Kale and Corn Chowder,1.4,2.1,Soups
49,4.6,3.4,Ina Garten s Gazpacho,0.9,2.6,Soups
88,15.5,0.7,Black Bean Soup with Sherry and Lime,5.1,0.7,Soups
95,11.8,4.3,Baked Potato Soup II,2.7,2.3,Soups
41,5.3,2.0,Zucchini Potato and Cilantro Soup,1.2,1.3,Soups
42,8.0,0.9,Curried Apple and Leek Soup,0.9,3.7,Soups
43,3.7,2.8,Asparagus Soup with Lemon Creme Fraiche,1.7,1.5,Soups
67,10.5,1.2,Minestrone in Minutes,3.6,2.4,Soups
255,28.8,12.2,Coconut Curried Golden Lentils,10.9,1.4,Soups
82,10.0,3.4,Corn & Potato Chowder,3.5,3.0,Soups
19,4.1,0.2,Nutribullet Tomato Watermelon Gazpacho,0.8,2.7,Soups
72,10.9,3.1,Vegan Corn Chowder,1.7,2.5,Soups
63,10.2,1.4,Tofu Chik Noodle Soup,3.5,0.8,Soups
46,6.6,2.0,Vegan Vegetable and Dumpling Soup,0.8,0.9,Soups
21,4.4,0.1,Beet Gazpacho,0.9,2.5,Soups
55,3.2,3.2,Chicken Avocado Soup with Lime,4.0,1.1,Soups
62,11.6,0.6,Vegan Potato Soup,2.9,1.1,Soups
139,2.9,11.2,Crockpot Chicken Lime Chowder,7.1,1.5,Soups
110,4.0,7.0,Low Carb Crockpot Ham & Cheese Cauliflower Soup,8.2,0.8,Soups
72,9.3,3.5,Spicy Potato Tarragon Soup,1.1,1.6,Soups
61,8.1,2.9,Cashew Corn Chowder,1.8,2.3,Soups
60,5.0,4.3,Curried Cauliflower Rice Kale Soup,1.4,1.7,Soups
69,13.3,0.9,Moroccan Pumpkin and Chickpea Stew,2.3,2.7,Soups
135,25.6,1.2,Vegetarian Chili,7.1,3.3,Soups
77,2.9,3.5,Shrimp and Feta Stew,6.7,1.7,Soups
85,4.4,3.0,Chicken Stew,9.8,2.2,Soups
64,10.6,1.7,Creamy Tomato Soup,2.2,6.8,Soups
74,5.8,3.3,Almond Chicken Soup,5.7,1.8,Soups
91,3.3,7.6,Roasted Cauliflower and Aged Cheddar Soup,3.1,1.5,Soups
61,10.9,0.5,White Bean and Roasted Mushroom Soup,3.7,0.9,Soups
74,7.1,1.0,Mushy Pea Curry,9.1,3.1,Soups
44,5.0,2.2,Cream of Tomato Soup,1.7,3.4,Soups
68,5.2,2.7,Turkey Soup,5.4,1.6,Soups
64,7.5,3.4,Tomato Fennel and Crab Soup,1.8,2.8,Soups
90,8.2,4.2,Lasagna Soup,4.9,1.7,Soups
46,6.8,1.3,Leek Asparagus and Herb soup,2.5,2.2,Soups
35,4.4,1.7,Creamy Carrot Ginger Soup,0.9,2.1,Soups
137,9.8,9.2,Vegan Panang Curry with Tofu,5.9,2.2,Soups
46,2.6,1.7,Cheat n Eat Vietnamese Chicken Soup,4.8,0.5,Soups
62,6.2,1.1,Slow Cooker Spiced Chicken Soup,6.6,1.2,Soups
81,5.2,3.9,Shakshouka,7.1,2.4,Soups
51,5.4,2.8,Broccolli Soup,1.8,0.8,Soups
15,3.0,0.1,Carrot and Cilantro Soup,0.3,1.2,Soups
14,2.4,0.2,Celery Onion and Spinach Soup,0.9,0.5,Soups
65,12.9,0.6,Mixed Vegetable Soup,3.2,2.0,Soups
74,3.9,5.6,gredient Tomato Soup,1.5,0.7,Soups
19,0.5,1.1,Low Carb Egg Drop Soup,1.8,0.4,Soups
80,6.4,5.8,Broccoli Soup,2.3,1.6,Soups
63,4.1,4.8,Pea and Lettuce Puree with Tarragon,1.7,0.8,Soups
48,8.1,0.8,Vegan Wonton Soup,2.5,0.3,Soups
57,7.6,2.0,Vegan Broccoli Cheeze Soup,3.2,1.4,Soups
41,7.3,1.1,Vegan Tomato Tumeric Cabbage Stew,1.7,3.3,Soups
72,11.8,2.0,Vegan Dill Stew with Rosemary Dumplings,2.0,0.6,Soups
87,13.1,2.3,One Pot Tortellini Soup,4.0,1.0,Soups
60,7.3,1.9,Canned Vegetable Soup with Tofu,3.5,2.5,Soups
38,6.2,0.7,Greek Lentil Soup,2.1,0.7,Soups
38,6.7,0.8,Vegan Veggie & Cheeze Soup,1.4,1.9,Soups
53,3.3,2.9,Seafood Soup,3.9,1.0,Soups
103,16.1,1.9,Cuban Green Soup,6.1,0.4,Soups
39,4.4,2.3,Fennel Soup,1.1,2.2,Soups
74,6.0,4.6,Minted Pea Soup,2.6,2.4,Soups
163,7.7,14.1,Bread and Tomato Soup,1.8,1.1,Soups
68,11.4,0.3,Split Pea Soup,5.1,1.6,Soups
72,12.3,1.1,Tomato Lentil Soup,4.0,1.6,Soups
104,10.6,4.4,Bean Egg and Kale Soup,5.9,1.3,Soups
61,9.8,0.8,Black Bean and Bacon Soup,3.5,0.6,Soups
94,6.8,6.3,Slow Cooker Potato Soup,3.1,0.5,Soups
47,3.2,3.6,Golden Soup,1.4,0.9,Soups
74,7.0,4.0,Bacon Potato Soup,2.9,0.7,Soups
41,7.1,0.8,Spring Minestrone,2.2,0.9,Soups
71,5.8,1.9,Chicken Tortilla Soup,7.7,1.0,Soups
46,3.9,1.9,Hot & Sour Soup,3.2,1.6,Soups
136,11.1,6.4,Philly Cheesesteak Stew,8.5,1.6,Soups
52,3.9,2.7,Instant Creamy Onion Soup,3.5,2.2,Soups
101,2.6,9.3,Roasted Red Bell Pepper and Cauliflower Soup,2.4,1.4,Soups
119,15.3,3.8,Fast White Bean Stew,6.4,1.2,Soups
80,16.0,0.5,Pressure Cooker South Indian Sambar,3.6,1.7,Soups
18,3.3,0.2,Kale Soup,1.4,1.2,Soups
43,3.0,3.3,Simple Thai Pumpkin Soup,1.2,0.7,Soups
51,6.8,2.3,Chunky Potato Soup with Dill,1.1,1.4,Soups
70,10.8,1.6,French onion soup,3.1,1.6,Soups
