calories,carb,fat,name,protein,sugar,type
232,10.4,15.5,Pulled Pork Sandwich,12.3,3.7,Sandwiches
186,14.9,9.3,viled Eggs Style Breakfast Sandwich,10.4,2.5,Sandwiches
289,18.1,19.6,Cheese quesadilla,10.3,1.8,Sandwiches
126,15.6,3.3,Apple Turkey Burgers,8.9,4.9,Sandwiches
179,13.6,8.1,Prosciutto Manchego Sandwich with Spinach,12.5,0.4,Sandwiches
241,20.7,14.4,Spaghetti Sandwiches,7.1,3.6,Sandwiches
143,25.7,2.5,Goat Cheese and Pear Bagel,5.5,8.2,Sandwiches
252,28.9,11.2,Classic BLT,8.9,3.4,Sandwiches
368,22.2,24.1,Colby Jack and Cheddar Grilled Cheese,15.6,2.6,Sandwiches
326,28.0,18.4,Bacon Guacamole Grilled Cheese Sandwich,12.5,2.5,Sandwiches
127,17.1,4.6,Chickpea Salad Wraps,5.3,1.0,Sandwiches
162,10.5,7.1,Chicken Parm Hero,13.3,2.2,Sandwiches
184,5.9,10.5,Southwest Chicken and Bacon Wrap,15.8,1.0,Sandwiches
192,13.1,12.4,California Melt,8.9,2.1,Sandwiches
224,14.3,12.7,Chipotle Burgers,12.4,1.5,Sandwiches
182,20.6,6.0,Chicken Souvlaki,12.7,1.6,Sandwiches
190,14.4,8.5,Chicken bacon ranch wrap,13.5,1.5,Sandwiches
145,20.3,4.9,Fiesta Pita,6.3,1.3,Sandwiches
179,22.0,7.1,Lentil Cakes,7.7,1.9,Sandwiches
125,17.4,3.1,Mini Cheese and Turkey Melts,8.5,4.2,Sandwiches
138,7.0,10.9,Turkey Goat Cheese and Avocado Rolls,5.1,1.6,Sandwiches
288,24.9,19.2,Hot Peanut Butter and Banana Sandwich,7.1,8.4,Sandwiches
62,2.2,0.9,Shrimp Lettuce Wraps,10.8,1.5,Sandwiches
77,8.3,1.1,Cottage Cheese and Spinach Sandwich,8.5,2.7,Sandwiches
132,7.0,5.4,Lavash Chicken Wrap,16.8,0.2,Sandwiches
174,23.2,7.0,Barbecue Tofu Sandwiches,6.0,11.9,Sandwiches
108,5.9,4.4,French Dip Sandwich,10.9,0.3,Sandwiches
209,20.0,9.8,Curried Egg Sandwiches,9.8,2.7,Sandwiches
219,24.7,7.8,Spicy Tuna Melt,13.6,1.3,Sandwiches
242,15.2,14.9,Provolone and Broccoli Rabe Panini,12.3,0.9,Sandwiches
80,13.2,2.3,Veggie wrap,2.6,3.0,Sandwiches
111,14.1,5.5,Tomato and Mayo on Rye,3.2,2.4,Sandwiches
205,12.5,11.6,Turkey Bacon BLT Sandwich,13.1,1.9,Sandwiches
204,13.1,10.5,Ham and cheese sandwich,13.9,1.4,Sandwiches
173,14.7,8.4,BLT sandwich,9.5,2.4,Sandwiches
168,17.0,4.6,Chicken and Ranch Wrap,13.8,1.4,Sandwiches
384,39.7,21.3,Big PB&J Sandwich,14.2,15.7,Sandwiches
153,18.5,4.3,Turkey Sandwich,10.4,4.4,Sandwiches
187,10.4,10.4,Chicken and Avocado Burrito,13.7,0.4,Sandwiches
145,16.4,3.0,Tuna and Hummus Sandwich,13.5,1.8,Sandwiches
228,30.3,8.1,French Egg and Bacon Sandwich,8.7,19.8,Sandwiches
69,12.8,0.7,Balsamic Zucchini Sandwich,3.4,2.1,Sandwiches
99,12.8,4.5,Cucumber Sandwich,2.2,2.9,Sandwiches
138,10.8,8.2,Broccoli Tofu Pitas,6.5,1.9,Sandwiches
131,11.9,4.3,Tuna Burrito,11.4,1.4,Sandwiches
216,11.8,12.3,Monte Cristo sandwich,14.2,1.6,Sandwiches
203,16.1,8.9,Prosciutto Sandwich with Spinach,14.2,0.9,Sandwiches
144,11.5,7.1,Most Excellent Sandwich,9.2,2.3,Sandwiches
260,15.0,17.1,Salami Cream Cheese Sandwich,11.6,3.5,Sandwiches
150,11.7,6.2,Open Face Florentine Omelet Sandwich,11.6,1.9,Sandwiches
148,18.6,4.8,Turkey Hummus Sandwich,8.6,2.8,Sandwiches
238,26.3,9.9,School Lunch Bagel Sandwich,11.2,3.6,Sandwiches
190,16.1,9.0,Turkey Provolone and Sprout Sandwich,11.8,3.1,Sandwiches
165,12.9,6.7,Ham and Cottage Cheese Sandwich,12.7,2.1,Sandwiches
235,18.4,15.6,Spinach and Artichoke Melt Sandwhich,6.5,2.3,Sandwiches
151,7.6,8.1,Grilled Cheese Turkey Burger Wraps,12.4,1.0,Sandwiches
175,19.7,7.0,Microwave Black Bean Burger,11.7,4.2,Sandwiches
193,11.8,11.9,Mediterranean Wrap,9.9,1.1,Sandwiches
127,14.7,6.0,Turkey corn and tomato wrap,5.5,2.4,Sandwiches
85,7.1,2.8,Ham and Cottage Cheese Salad,8.9,4.0,Sandwiches
105,12.0,4.5,Turkey Ham and Avocado on Rye,6.2,1.8,Sandwiches
107,3.0,4.8,Ham Cheese and Tomato Roll ups,12.5,0.2,Sandwiches
176,10.4,11.0,Shawarma Spiced Chicken Pita with Tahini Yogurt Sauce,9.4,1.6,Sandwiches
199,26.3,5.9,Sugar Glazed Chicken Meatball Sandwich on French Bread,10.6,10.0,Sandwiches
203,6.8,11.4,Buffalo Chicken Grilled Cheese Sandwich,17.7,1.0,Sandwiches
149,13.1,6.5,Spicy Egg Salad Sandwich,9.3,2.1,Sandwiches
226,12.7,15.4,Gourmet Croissants,8.9,4.3,Sandwiches
144,20.4,5.3,Curried Cashew Burger,4.5,1.9,Sandwiches
165,26.1,4.4,Barbeque Tempeh Sandwiches,5.9,10.1,Sandwiches
184,22.4,6.5,Tomato Jam and Mozzarella Panini,9.3,5.0,Sandwiches
197,15.3,9.9,Turkey and Swiss Sandwich,12.2,3.2,Sandwiches
361,25.8,21.9,Sweet Grilled Cheese,15.7,8.8,Sandwiches
79,13.5,2.0,Crustless Cucumber Sandwich,2.2,3.5,Sandwiches
137,1.8,7.7,Healthy Chicken Lettuce Wraps,14.6,1.1,Sandwiches
236,14.0,15.3,Grilled Turkey Bacon Radicchio and Blue Cheese Sandwiches,10.8,3.0,Sandwiches
215,15.9,11.0,Corned Beef Sandwich,13.1,1.8,Sandwiches
155,17.4,4.2,Fennel & Chicken Flatbread,11.5,1.8,Sandwiches
190,16.0,7.1,Chicken Caesar Wraps,14.8,3.5,Sandwiches
262,15.0,14.2,Burgers,18.7,1.9,Sandwiches
100,7.4,2.4,Smoked salmon and cottage sandwich,12.0,2.0,Sandwiches
230,29.3,6.4,Chicken Spinach Wrap,12.8,1.9,Sandwiches
215,31.6,5.3,Simple Caprese Sandwich,10.3,3.5,Sandwiches
201,0.7,15.2,Peppered Steaks,14.7,0.3,Sandwiches
143,11.7,7.0,Cucumber Tomato Ham and Cheese Sandwich,8.6,2.4,Sandwiches
149,9.5,6.0,Cottage Cheese and Spinach Turkey Burgers,14.6,1.9,Sandwiches
210,12.7,11.3,English Muffin Ham Breakfast Sandwich,14.8,2.3,Sandwiches
319,32.6,15.5,Mozzarella Sweet Grilled Cheese,13.0,11.3,Sandwiches
354,17.4,24.0,Toasted Chili Pepper Cheese Sandwich,17.3,2.7,Sandwiches
140,13.6,2.6,Chicken & Mayo Bagel,14.6,0.6,Sandwiches
127,19.9,4.0,Tomato and Hummus on Rye,4.6,1.7,Sandwiches
146,22.5,2.6,Turkey Sandwich,8.7,3.3,Sandwiches
180,21.8,6.3,Turkey Sandwiches with Cranberry Sauce and Blue Cheese Butter,9.6,14.0,Sandwiches
208,16.7,9.3,Grilled turkey sandwich,14.6,3.6,Sandwiches
152,19.5,5.4,Hummus on Whole Wheat,7.4,1.6,Sandwiches
244,19.3,14.7,Roasted Broccoli and Grilled Cheese,9.7,2.1,Sandwiches
124,11.1,7.4,The Vegan Snack Sandwich,3.3,0.9,Sandwiches
135,18.4,4.7,Avocado Chickpea Salad Sandwich,5.9,1.6,Sandwiches
