calories,carb,fat,name,protein,sugar,type
46,3.7,3.3,Tomato and Radish Salad,1.0,2.1,Salads
50,7.7,2.0,Simple Coleslaw,1.2,4.5,Salads
79,7.4,4.5,Corn Zucchini Skillet,3.8,3.3,Salads
212,10.8,14.7,Easy Pea Salad,8.0,5.2,Salads
83,8.4,3.3,Peach Caprese Salad,5.1,5.7,Salads
84,14.3,2.5,Buckwheat Beet & Citrus Salad,2.3,3.4,Salads
124,19.0,4.2,Lentil and Rice Salad,2.8,0.9,Salads
77,10.6,2.7,Mexican chickpea salad,3.6,1.0,Salads
101,11.4,5.4,Bacon Broccoli Salad,4.3,5.2,Salads
145,5.3,13.4,Lemon Sesame Asparagus,3.1,1.6,Salads
30,4.1,0.3,Simple Cottage Cheese Salad,3.1,2.7,Salads
59,4.8,2.8,Zucchini Pasta,4.1,3.5,Salads
99,8.8,4.2,Tuna Turmeric Salad,7.3,2.5,Salads
17,3.7,0.1,Tossed Tomatoes Cucumber and Red Peppers,0.7,2.1,Salads
85,19.7,0.1,Pickled Red Onions with Cilantro,0.6,16.9,Salads
152,11.4,10.3,Crab Salad,3.1,2.1,Salads
81,8.0,5.0,Cold Mediterranean Quinoa Salad,1.7,1.4,Salads
78,5.6,5.1,Garlic Green Beans with Tofu,3.6,2.4,Salads
207,5.3,14.8,Tomato and Arugula Salad with Grilled Steak and Portabella Mushrooms,13.5,2.9,Salads
145,2.7,10.8,Zesty Chicken Cobb Salad,9.4,0.8,Salads
104,9.6,7.2,Beet Mushroom and Avocado Salad,2.4,2.6,Salads
62,4.4,4.8,Spinach Tomato Salad,2.0,1.3,Salads
164,13.5,11.0,Broccoli Salad,5.2,2.5,Salads
100,8.5,7.4,Kale Avocado Salad,2.8,1.4,Salads
112,3.9,7.4,Chopped Chicken Salad,8.3,1.4,Salads
132,3.8,10.1,Taco Salad,7.2,1.0,Salads
102,12.2,5.1,Pear Gorgonzola and Pecan Salad,3.3,7.4,Salads
174,5.4,7.5,Classic Tuna Salad,21.2,3.1,Salads
74,4.6,6.0,Spinach salad,2.2,1.0,Salads
91,13.3,3.7,Potatoes and Peppers,1.6,2.0,Salads
119,1.8,7.6,Keto Tuna Salad,11.1,0.7,Salads
44,11.0,0.3,Fruit salad,0.7,7.4,Salads
92,3.2,4.8,Tuna and Avocado salad,10.2,0.4,Salads
107,12.8,4.8,Seasoned Mashed Chickpeas,4.3,0.3,Salads
113,7.5,9.7,Avocado salad,1.6,1.3,Salads
80,3.1,3.1,Quick Buffalo Chicken Salad,10.0,1.9,Salads
87,8.3,5.6,Brussels Sprout Slaw,3.1,2.1,Salads
78,6.5,5.8,Green Beans with Olive Oil,1.7,3.0,Salads
32,2.9,0.3,Cucumber Tomato Salad with Tuna,4.9,1.6,Salads
60,4.4,4.8,Cucumber Avocado Salad,1.1,1.2,Salads
124,1.7,5.3,Lime Chicken Salad,16.6,0.4,Salads
89,22.9,0.3,Spicy Plantain Salad,1.1,10.8,Salads
164,16.3,9.9,White Bean & Barley Salad,3.1,0.6,Salads
93,11.9,3.9,Braised Potato Salad with White Beans,3.1,0.7,Salads
81,12.4,2.9,Super Skinny Mother Noodle,1.9,2.6,Salads
145,14.5,6.1,Turkey Taco Salad,8.3,1.4,Salads
91,19.3,0.8,Soba Salad,3.5,1.6,Salads
73,11.1,2.9,Tabbouleh Salad,2.1,1.6,Salads
54,5.4,2.8,Keto Cauliflower Potato Salad,2.8,2.3,Salads
123,21.0,2.8,Quinoa and Grilled Pepper Salad,4.4,0.1,Salads
67,4.8,3.6,Veggie & chicken salad,4.4,2.6,Salads
83,6.5,3.7,Tuna and Ranch Garden Salad Sandwich,6.4,2.1,Salads
47,5.4,2.6,Portobello Mushroom Caps and Veggies,1.7,2.7,Salads
92,12.1,3.4,Country Cottage Potato Salad,3.7,2.0,Salads
148,9.0,8.8,Thousand Island Slaw with Chicken,7.9,0.7,Salads
140,12.1,9.3,Broccoli with Toasted Garlic Crumbs,3.5,1.9,Salads
109,15.5,5.4,Charred Corn Salad with Basil and Tomatoes,2.5,3.8,Salads
65,3.2,5.3,Wilted Watercress with Garlic,2.2,0.3,Salads
50,12.8,0.2,Healthy Fruit Salad,0.6,10.5,Salads
57,3.9,4.2,Spinach Recipe,2.8,0.4,Salads
61,12.4,0.4,Southwestern Salad with Black Beans,3.4,1.6,Salads
85,21.8,0.2,Cantaloupe Salad with Lime Mint and Ginger,1.0,18.7,Salads
123,15.3,6.3,Salt and Vinegar Potato Salad,1.7,1.1,Salads
81,6.9,4.4,Summer Salad with Grilled Shrimp,5.8,3.3,Salads
201,3.5,17.6,Pizza Salad,7.4,2.1,Salads
171,26.9,4.1,Southwest Chickpea Salad,8.4,4.2,Salads
73,3.0,3.8,Veggie Egg Salad,6.7,1.7,Salads
53,5.7,2.9,Brazilian Collard Greens,3.0,0.5,Salads
132,3.9,10.4,Celery and Sesame Tofu Salad,7.8,0.6,Salads
36,4.4,2.2,Israeli Salad,0.8,2.2,Salads
126,16.3,5.3,Bruschette with Chickpea Pure and Arugula,5.5,0.8,Salads
57,9.8,2.0,Rutabaga and Carrot Pure,1.0,5.7,Salads
54,6.1,3.3,Gazpacho Green Beans,1.5,3.0,Salads
158,5.0,14.5,Cucumber and Radish Salad,3.3,1.5,Salads
80,6.9,5.8,Haricots Verts with Herb Butter,1.8,3.1,Salads
109,8.8,8.4,Carrot Avocado Salad,1.1,3.5,Salads
117,2.8,4.8,Whitefish Salad,15.0,1.7,Salads
47,6.0,2.4,Cauliflower Salad,1.8,2.7,Salads
136,9.1,10.0,VegetarianQuorn Chicken and Avocado Salad with Lime and Cilantro,4.9,1.0,Salads
102,10.1,6.1,Salad with Homemade Creamy Sesame Dressing,3.5,5.2,Salads
149,27.5,1.0,Brown Rice and Black Bean Salad,8.7,3.2,Salads
141,25.6,1.1,an Salad,8.7,1.9,Salads
42,10.8,0.1,Healthy Ingredient Fruit Salad,0.5,7.8,Salads
69,11.7,2.6,Wilted Spinach and Corn Salad,2.0,2.3,Salads
172,12.7,12.8,Lemon Cous Cous Salad,3.1,1.3,Salads
81,6.9,6.3,Lebanese Fresh Thyme Tomato Salad,1.0,2.7,Salads
137,8.6,10.8,Tossed Salad with Artichoke Hearts and Chickpeas,3.0,2.5,Salads
232,14.4,16.1,Kale Anchovy Salad,9.3,2.1,Salads
82,3.6,7.5,Zucchini with Thyme,1.2,2.4,Salads
88,5.9,6.9,Spiced Peppers and Eggplant,1.1,3.4,Salads
129,8.1,10.7,Lemon and Avocado Kale Salad,2.9,1.4,Salads
265,35.8,10.6,Cold Peanut Noodle Salad,7.7,3.8,Salads
114,19.5,3.0,Quinoa Bean Salad,4.1,8.3,Salads
43,10.2,0.2,Mediterranean Salad,1.2,6.6,Salads
139,7.1,11.0,Honey Lime Chicken and Avocado Salad,4.6,3.9,Salads
209,20.3,13.0,Charred Chickpea and Corn Salad,4.4,2.5,Salads
257,17.9,19.3,Roasted Broccoli Quinoa Salad,5.2,3.5,Salads
284,11.9,24.9,Raw Broccoli Salad,8.1,2.0,Salads
163,8.5,13.9,Spinach Salad with Cashews,3.9,2.6,Salads
83,9.7,4.3,Quinoa Tabbouleh,2.1,1.4,Salads
70,7.7,4.4,Delicata Squash and Roasted Mushrooms,1.7,1.9,Salads
104,5.0,9.0,Spicy Red Pepper and Eggplant Confit,0.9,2.2,Salads
75,9.4,2.1,Mexican Bean Salad,5.0,1.9,Salads
81,13.3,3.1,Broccoli and Apple Salad,1.4,9.7,Salads
67,5.9,4.5,Radish Salad with Mint and Pistachios,1.8,2.5,Salads
169,10.0,13.8,Three Bean Salad,2.8,1.5,Salads
141,21.5,3.2,Black Bean Lentil Salad with Cumin Lime Dressing,7.7,1.6,Salads
128,15.1,6.4,Cabbage Salad,3.7,9.6,Salads
110,5.5,9.6,Leafy Green and Vegetable Salad With Lemon Tahini Dressing,1.7,1.6,Salads
78,8.4,2.1,Chicken Burrito Bowl,7.3,1.2,Salads
104,6.1,7.5,Tofu peanut lettuce wraps,4.5,2.9,Salads
39,6.7,0.3,High Potassium Fruit Salad,3.3,5.5,Salads
15,3.0,0.1,Tomato Salad,0.6,1.9,Salads
132,11.0,9.4,Roasted Green Beans and Cashews,3.6,3.8,Salads
138,5.0,11.0,Tomato & Basil Salad,5.4,2.9,Salads
117,6.4,8.7,Berry Shake,5.1,3.0,Salads
70,5.9,4.9,Lemony Spinach Salad,2.1,2.4,Salads
181,13.5,13.0,Arugula Salad with Grapefruit dressing,5.0,9.6,Salads
149,3.3,15.0,Mesclun Salad with Shallot Vinaigrette,1.1,1.2,Salads
195,23.3,7.5,Chickpea Salad with Lemon Parmesan and Fresh Herbs,10.0,4.1,Salads
96,5.8,2.6,Tuna Apple Salad,13.0,4.1,Salads
130,22.4,4.0,Pomegranate Salad with Figs & Pumpkin Seeds,3.6,16.8,Salads
206,27.6,9.7,Creamy Pasta Salad,2.8,2.2,Salads
169,9.3,12.5,Spinach & Strawberry Salad,5.8,1.7,Salads
119,19.6,2.1,Veggie Tuna Mac,7.0,1.3,Salads
